firstName,lastName, LoanBalance , ArrearsBalance ,ArrearsDays,RepaymentAmount,LVR,JointLoan,LPI, SecurityValuation , RelationshipBalance , SavingsBalance ,SavingsBalanceOne,SavingsBalanceThree,ArrearsBalanceOne,ArrearsBalanceThree,ArrearsDaysOne,ArrearsDaysThree,TransactionQuantityOne,TransactionValueOne,TransactionQuantityThree,TransactionValueThree,AppUsageOne,AppUsageThree,InternetUsageOne,InternetUsageThree,BranchVisitsSix,Gender,Age,ResidentialPostcode,DefaultOccurred
Sissie,Guarin,510.00,948.00,23,6569.00,39,Yes,Yes,2426.00,8603.00,734.00,100,24,51,75,95,19,72,100,96,84,26,83,44,57,78,Female,64,92496,No
Iolande,Burrows,3432.00,2634.00,230,7190.00,12,Yes,Yes,6090.00,3094.00,6651.00,88,35,92,81,62,2,77,21,74,90,3,57,71,40,21,Female,34,35218,Yes
Loutitia,Wackly,4775.00,2920.00,113,9316.00,69,Yes,Yes,7932.00,7640.00,248.00,32,85,78,30,48,91,49,16,31,60,37,31,40,1,23,Female,34,81226,No
Ailene,Joe,8340.00,2507.00,305,608.00,43,Yes,No,2107.00,4237.00,9723.00,66,83,60,76,31,89,49,56,36,19,12,41,70,82,76,Female,4,93815,Yes
Hayden,Pelos,6966.00,583.00,396,3995.00,69,Yes,No,6009.00,3681.00,9251.00,47,33,31,50,90,27,72,6,22,22,94,2,88,34,82,Female,44,16906,No
Chrissy,Budgey,3120.00,8422.00,141,1094.00,38,Yes,Yes,3509.00,6721.00,2098.00,26,42,20,29,68,51,12,15,92,2,33,25,36,67,100,Female,6,11817,Yes
Filbert,Farren,9365.00,8238.00,124,3196.00,1,Yes,No,2005.00,8577.00,5064.00,46,45,58,13,1,47,17,54,20,12,79,55,66,48,96,Male,18,71889,Yes
Rudolph,Braizier,7131.00,3158.00,681,941.00,54,No,Yes,2542.00,6341.00,5378.00,97,7,89,72,43,74,72,12,21,62,27,72,11,32,76,Male,35,27882,No
Wilhelmine,Boffey,3877.00,2681.00,779,7508.00,43,No,No,663.00,302.00,6524.00,24,77,17,95,83,37,61,32,44,32,48,37,95,19,86,Male,74,48347,No
Marylynne,Aizic,845.00,5199.00,362,5222.00,82,Yes,Yes,896.00,8944.00,1143.00,4,81,76,89,90,91,39,88,41,11,68,53,54,100,97,Female,22,53947,Yes
Paxon,Astall,2491.00,7771.00,519,8055.00,89,Yes,No,3449.00,8866.00,9629.00,24,41,94,62,70,43,92,41,31,2,26,81,17,90,23,Male,77,96495,Yes
Alexandro,Sesser,5412.00,3154.00,75,4691.00,23,Yes,Yes,8499.00,1373.00,198.00,92,9,55,67,100,30,20,20,68,75,97,37,90,5,33,Male,60,24871,Yes
Devin,Sleightholm,6299.00,9630.00,954,3312.00,69,Yes,Yes,5194.00,6918.00,4112.00,12,11,58,4,84,48,74,2,43,84,44,85,39,26,43,Male,4,58355,Yes
Del,Santo,6692.00,4994.00,119,2993.00,64,No,No,6790.00,448.00,1420.00,92,17,29,8,93,4,85,56,100,55,63,63,28,74,19,Female,79,11345,No
Brennen,Pulhoster,9624.00,9982.00,484,5951.00,79,No,No,3053.00,6524.00,8272.00,59,6,31,66,78,93,80,49,18,100,4,9,40,77,81,Female,8,93618,Yes
Rebbecca,Buncombe,4052.00,4530.00,396,5930.00,43,Yes,No,7816.00,5199.00,8333.00,32,44,92,4,33,62,78,71,19,89,17,38,38,13,100,Male,16,40600,No
Hew,D'Ambrosio,7790.00,6623.00,395,4209.00,61,No,No,1378.00,711.00,4045.00,100,43,61,84,23,4,37,82,13,31,56,79,30,94,8,Male,38,48026,No
Eduard,De Bischop,6287.00,7664.00,147,7110.00,82,No,No,3512.00,348.00,3674.00,76,97,59,4,92,42,83,56,96,26,92,13,52,88,14,Female,74,49364,No
Wallache,Lates,2131.00,7769.00,376,9310.00,40,No,No,5168.00,5756.00,6689.00,61,21,18,84,76,5,44,58,93,61,38,67,80,94,71,Female,62,76067,Yes
Linnea,Ord,2910.00,5504.00,22,466.00,97,No,No,2616.00,609.00,1453.00,95,76,53,45,1,81,26,18,30,32,78,85,84,55,25,Male,59,15932,No
Hunfredo,Calyton,5156.00,4631.00,255,3439.00,35,No,No,3659.00,4265.00,6658.00,35,55,96,7,34,17,47,29,69,98,23,44,11,15,8,Female,12,22905,No
Jamaal,Connichie,5793.00,4452.00,254,6998.00,24,Yes,Yes,9306.00,8371.00,9565.00,6,34,23,38,37,74,17,39,29,33,84,72,16,4,34,Female,73,47120,Yes
Zaria,Piris,228.00,2085.00,470,652.00,22,No,Yes,2954.00,1504.00,131.00,46,27,79,54,5,82,4,11,31,78,35,83,32,30,58,Male,80,45336,Yes
Allegra,Pigney,6956.00,1349.00,146,9164.00,46,Yes,Yes,6782.00,8879.00,4179.00,58,49,79,49,100,60,45,86,96,36,65,35,78,46,37,Male,33,32286,No
Rheba,Rocca,8411.00,8679.00,63,6156.00,51,No,No,3326.00,4321.00,2753.00,73,29,57,10,31,72,46,93,66,59,61,64,40,93,1,Female,55,52150,Yes
Corilla,Gruby,9228.00,2388.00,388,1141.00,72,Yes,No,8038.00,5215.00,5150.00,44,35,52,27,6,4,8,31,34,83,69,74,94,74,66,Male,19,59237,Yes
Dane,Swiffen,9179.00,306.00,650,3198.00,22,No,No,3199.00,7436.00,4054.00,1,26,86,24,1,6,30,10,55,47,74,28,75,71,42,Female,13,36260,No
Kristan,Tiplady,1757.00,6073.00,45,7765.00,80,No,No,4417.00,419.00,6351.00,15,95,60,83,70,85,80,25,37,66,91,70,34,68,98,Male,12,16310,Yes
Starlin,Steagall,5391.00,7111.00,218,6440.00,64,No,No,2549.00,4001.00,5865.00,71,88,64,29,14,58,83,63,65,50,16,33,91,30,59,Female,77,28385,Yes
Mohammed,Buncher,6867.00,5722.00,794,2124.00,23,No,No,4936.00,3392.00,1370.00,82,83,47,61,43,53,73,56,91,39,66,26,44,68,60,Female,75,29487,Yes
Kala,Woodier,5541.00,9317.00,316,2980.00,14,No,No,1935.00,8606.00,8900.00,83,94,1,55,19,59,3,42,33,60,37,41,89,95,59,Male,69,38555,No
Theda,Stent,9987.00,1936.00,126,2007.00,1,Yes,No,137.00,8478.00,5301.00,58,93,32,20,84,14,92,22,75,1,2,86,8,43,100,Female,77,25135,Yes
Camile,Affleck,8031.00,9285.00,300,6713.00,2,No,No,2923.00,1684.00,1155.00,46,45,64,2,27,12,90,26,63,91,90,6,94,69,44,Male,23,19369,No
Nicolai,Feldstern,4079.00,6555.00,660,4784.00,92,No,No,6770.00,431.00,478.00,35,45,7,13,87,99,93,57,23,19,80,26,86,26,90,Female,56,65055,No
Del,Henniger,3228.00,157.00,44,9276.00,18,Yes,No,5105.00,8540.00,2422.00,4,33,49,1,25,21,60,88,98,87,59,69,81,82,45,Male,32,23469,Yes
Shanda,Deerness,645.00,1839.00,777,7948.00,1,Yes,Yes,8598.00,8362.00,6800.00,17,29,24,36,76,74,19,91,95,92,83,54,10,9,47,Male,12,82668,No
Nathanael,Sliney,126.00,4624.00,919,1926.00,71,Yes,No,7144.00,4887.00,8037.00,34,16,60,93,95,6,50,61,11,24,85,59,15,93,80,Female,80,16308,Yes
Blair,Laurenceau,6446.00,4401.00,853,5732.00,29,No,No,4589.00,513.00,4949.00,32,48,88,82,3,34,100,98,79,51,64,79,70,41,9,Female,58,64146,Yes
Freddy,Beastall,5846.00,5694.00,433,4138.00,22,No,No,1172.00,897.00,1064.00,92,38,70,46,16,55,96,94,49,70,87,52,50,99,91,Male,72,36003,No
Timmy,Giorgiutti,6008.00,1378.00,396,2476.00,65,No,Yes,8619.00,6918.00,5817.00,31,66,95,78,44,14,5,99,87,75,55,76,97,57,57,Male,80,69622,No
Tammy,Seares,7744.00,5798.00,326,4743.00,15,Yes,Yes,6322.00,3353.00,6647.00,34,100,48,26,5,96,53,34,52,62,21,98,5,47,31,Female,31,84318,Yes
Hal,Mullan,8109.00,674.00,147,7805.00,39,Yes,No,9281.00,6696.00,121.00,16,21,10,21,95,90,48,8,55,38,36,28,22,41,15,Female,79,56872,No
Christalle,Maberley,180.00,5803.00,458,9332.00,89,No,No,988.00,8481.00,1891.00,79,34,46,81,65,56,29,32,99,1,14,25,89,4,60,Female,14,70846,No
Antonio,Shingfield,7770.00,7560.00,557,7782.00,59,Yes,No,5479.00,6946.00,2665.00,70,25,65,54,93,35,8,71,35,11,79,66,76,15,50,Female,62,36922,No
Amata,Kliement,1165.00,697.00,750,6984.00,48,No,Yes,172.00,4783.00,4081.00,67,57,35,48,42,54,35,41,71,87,51,55,22,23,3,Male,63,81605,Yes
Bertina,Dunstone,1178.00,5710.00,703,4126.00,65,Yes,Yes,2315.00,8860.00,2307.00,50,28,43,65,1,26,23,84,19,77,4,28,25,43,93,Female,58,13649,Yes
Jae,Allery,4348.00,5218.00,995,5466.00,23,No,No,3881.00,3847.00,9252.00,97,16,69,52,7,3,9,52,31,36,92,52,20,99,56,Male,7,92809,No
Ranee,Rattrie,8682.00,7597.00,195,7607.00,36,Yes,No,268.00,5361.00,4783.00,41,14,30,53,58,20,87,52,14,53,16,20,31,15,79,Male,17,76878,Yes
Son,Fuidge,2519.00,1200.00,306,318.00,2,Yes,No,4777.00,9312.00,498.00,10,68,18,5,15,51,64,55,9,53,29,15,25,57,24,Male,52,90648,No
Worth,Gleadhell,7608.00,9562.00,243,7490.00,79,No,Yes,904.00,8740.00,874.00,73,80,78,21,59,13,37,22,15,6,19,57,72,24,62,Female,37,47388,Yes
Doris,Vezey,5120.00,3766.00,671,3393.00,20,No,No,5715.00,8771.00,9514.00,65,16,74,41,61,34,27,35,89,21,21,39,26,46,15,Female,17,91881,No
Hendrick,Kneeland,5466.00,7409.00,938,2578.00,25,No,Yes,9402.00,3983.00,1591.00,16,38,30,14,8,32,61,5,64,61,62,37,95,40,20,Female,35,14907,No
Deeyn,Cornforth,8583.00,5316.00,720,9277.00,50,Yes,Yes,8420.00,8144.00,7248.00,11,89,86,55,2,72,27,66,32,52,96,19,46,38,27,Female,38,77167,No
Idaline,Clough,9826.00,2892.00,648,481.00,51,No,No,3560.00,9304.00,1816.00,100,63,27,56,87,58,85,58,12,98,80,10,58,61,35,Female,80,46420,Yes
Mercy,Bruneau,9137.00,4154.00,951,9808.00,64,Yes,No,5846.00,1347.00,476.00,15,31,14,61,57,68,60,26,36,81,98,67,3,6,92,Male,27,93411,No
Noell,Leckie,514.00,1382.00,461,6703.00,52,Yes,Yes,6307.00,6329.00,4452.00,84,32,57,51,4,73,8,31,25,84,81,82,67,96,27,Male,67,45160,Yes
Vance,Climance,3971.00,734.00,707,1148.00,83,Yes,No,3610.00,7748.00,765.00,38,20,62,72,7,73,47,26,27,42,89,60,64,37,86,Female,65,30438,No
Merissa,Pingstone,3856.00,8432.00,284,4355.00,12,Yes,No,4243.00,1094.00,7312.00,88,2,97,1,30,88,76,94,68,77,43,79,84,29,74,Female,16,10555,No
Sella,Rickerd,7336.00,7111.00,864,9861.00,99,No,Yes,1677.00,8423.00,7239.00,81,26,14,61,98,3,17,34,8,78,49,73,69,93,100,Female,68,39015,No
Carlo,Dunklee,3985.00,2350.00,361,2901.00,22,No,No,1591.00,2077.00,417.00,66,36,34,66,46,95,28,39,53,52,56,95,93,33,41,Male,35,57922,No
Ingamar,Breddy,6735.00,2405.00,703,416.00,40,Yes,No,6482.00,8634.00,4744.00,44,82,14,75,3,89,50,23,97,7,57,95,38,41,97,Female,61,83944,No
Darla,Gorini,856.00,4825.00,823,8463.00,38,Yes,No,7899.00,2378.00,1813.00,42,72,22,59,52,32,64,84,13,41,47,41,9,91,100,Male,24,70797,Yes
Grissel,Tithecott,6239.00,7612.00,389,4567.00,95,Yes,Yes,9191.00,3745.00,4228.00,39,32,37,27,78,91,19,38,99,50,13,86,100,61,61,Male,47,66387,No
Camila,Welburn,8906.00,4607.00,518,1467.00,75,Yes,Yes,4934.00,6120.00,4577.00,62,54,14,81,25,40,19,92,46,14,74,30,14,44,40,Male,10,25011,Yes
Lucio,Studd,8123.00,9650.00,325,1700.00,61,No,No,1570.00,8805.00,1074.00,11,84,33,23,68,42,40,97,21,77,52,75,9,73,51,Male,75,65817,No
York,Cannop,1695.00,6407.00,783,6607.00,4,No,No,1851.00,736.00,2670.00,61,88,81,100,46,91,10,30,50,20,32,80,44,29,2,Female,23,95537,Yes
Sayre,Hallt,1584.00,9528.00,712,2495.00,55,No,Yes,2517.00,6947.00,3608.00,95,41,81,45,90,21,33,81,42,34,4,73,19,62,79,Female,73,82581,Yes
Benjamin,Laurance,3362.00,5642.00,105,5696.00,97,No,No,5344.00,2145.00,7634.00,14,26,93,99,53,87,41,43,75,37,8,47,63,96,49,Female,71,57362,Yes
Boony,Cluley,2124.00,6239.00,192,1432.00,47,Yes,No,2903.00,5699.00,6389.00,44,80,45,11,43,28,49,17,41,84,42,79,37,100,12,Male,63,21831,Yes
Farica,Behning,2436.00,3515.00,423,8235.00,26,No,No,486.00,804.00,4618.00,73,35,47,67,12,12,82,51,18,2,37,10,63,86,1,Male,12,64325,No
Collin,Valenti,6567.00,8003.00,171,7048.00,83,Yes,No,6761.00,6219.00,9752.00,78,84,43,78,48,47,42,42,85,74,100,29,49,8,83,Female,51,18613,Yes
Norbert,Janczyk,2490.00,2525.00,322,3721.00,40,No,No,3285.00,5862.00,2043.00,93,48,32,35,29,55,77,27,83,85,64,8,94,23,92,Male,72,68986,No
Normy,Packwood,3035.00,2994.00,31,1666.00,60,No,Yes,1362.00,1901.00,3758.00,77,23,75,87,5,36,42,8,7,53,77,75,82,57,64,Male,58,31091,No
Kin,Burbage,3538.00,6108.00,355,3683.00,9,No,No,1483.00,8310.00,2101.00,54,28,12,57,45,46,35,40,34,83,98,8,85,34,77,Female,67,88535,No
Francesca,Wakeling,2892.00,9951.00,33,2937.00,90,Yes,Yes,7346.00,5600.00,981.00,39,57,44,52,48,70,55,16,26,14,60,25,99,35,69,Female,75,8019,No
Querida,Wiltshaw,6994.00,4943.00,200,4720.00,17,No,Yes,417.00,6596.00,2279.00,67,63,7,32,39,33,25,31,41,65,38,4,89,57,74,Male,63,46408,No
Jenna,Phaup,2347.00,2021.00,371,5155.00,95,No,Yes,3706.00,5330.00,6787.00,10,61,25,68,39,35,98,58,21,64,4,11,100,14,34,Male,13,46648,Yes
Charlot,Foy,2266.00,469.00,442,6321.00,88,No,Yes,6916.00,3566.00,7735.00,23,72,47,73,86,26,66,41,66,37,79,65,90,77,89,Female,51,11173,Yes
Estell,Brennand,4315.00,9526.00,811,296.00,37,Yes,No,6836.00,1696.00,9488.00,11,88,97,1,64,4,12,39,8,73,37,4,44,100,79,Male,21,21047,No
Tiffy,Legate,7784.00,8254.00,368,9024.00,58,No,No,5288.00,2035.00,3821.00,71,19,11,4,79,96,3,12,34,41,52,70,97,42,9,Female,52,34890,Yes
Hazlett,Stirtle,3107.00,4223.00,894,7441.00,78,Yes,No,8338.00,7384.00,4092.00,21,76,61,35,33,5,49,65,73,63,43,98,34,88,21,Female,15,51707,No
Romonda,Swancock,7982.00,9872.00,510,536.00,48,No,Yes,4061.00,2228.00,9508.00,79,97,25,74,62,60,68,6,64,18,71,8,77,71,27,Female,70,37954,No
Jacquelin,Lobbe,1704.00,7269.00,428,4034.00,83,Yes,Yes,9237.00,4364.00,3651.00,64,97,84,69,68,70,75,84,30,89,72,98,98,40,41,Female,74,49342,Yes
Lissy,Neeson,9421.00,6051.00,665,5921.00,85,Yes,No,5428.00,8124.00,1992.00,13,18,4,41,81,5,37,61,16,85,5,24,66,42,21,Male,47,66203,No
Hardy,Syddall,2019.00,2107.00,488,4151.00,55,Yes,No,148.00,9642.00,8133.00,70,44,55,28,8,95,54,41,90,48,2,60,4,9,17,Male,37,85803,No
Celinda,Kibel,1365.00,5155.00,116,2633.00,28,Yes,No,5084.00,6683.00,753.00,83,21,47,99,78,17,45,98,63,49,47,14,33,42,48,Female,10,31297,No
Meagan,Husby,9856.00,7947.00,925,5347.00,15,Yes,Yes,3478.00,6765.00,2622.00,93,21,22,1,60,6,2,22,54,35,92,82,50,35,3,Male,35,44505,Yes
Carmelita,Boddice,8621.00,688.00,859,5329.00,71,Yes,No,9410.00,3146.00,6095.00,93,59,7,79,61,94,73,93,62,91,53,5,2,15,21,Male,66,92035,Yes
Em,Le Lievre,1660.00,7731.00,820,820.00,28,No,No,9946.00,9636.00,8668.00,32,97,84,78,11,35,71,94,91,80,50,53,7,87,81,Male,54,66123,No
Connie,Garrity,6672.00,8882.00,322,7446.00,98,Yes,Yes,6513.00,1639.00,6126.00,63,49,12,51,48,47,63,5,54,55,11,31,12,71,11,Female,54,56613,Yes
Henrie,Mantione,8710.00,4254.00,521,4209.00,47,No,Yes,2724.00,8402.00,185.00,22,73,95,92,66,89,84,12,47,25,82,22,89,33,1,Female,80,20155,Yes
Grant,Kinnard,2263.00,5889.00,332,7990.00,34,No,No,4825.00,175.00,7181.00,8,79,99,19,3,83,21,95,34,17,86,66,94,80,75,Male,4,17873,Yes
Rickie,Luttgert,2203.00,1134.00,355,6122.00,8,No,Yes,2703.00,546.00,2086.00,97,41,73,11,84,72,27,38,92,48,95,1,2,71,42,Female,31,84785,No
Lesly,Halsall,8165.00,3014.00,644,3563.00,41,Yes,Yes,8894.00,1622.00,5559.00,4,46,73,55,57,26,46,93,10,19,57,39,74,71,73,Female,54,3859,Yes
Demetre,Biskupiak,9274.00,4789.00,598,9590.00,20,No,No,6306.00,5205.00,4285.00,47,11,85,19,2,98,41,51,15,85,80,11,15,9,88,Female,53,86766,Yes
Milly,Robarts,1357.00,274.00,226,4621.00,57,No,Yes,5306.00,2662.00,468.00,92,3,11,63,8,82,87,80,20,20,47,41,31,26,52,Female,17,12972,No
Agace,Got,2467.00,5843.00,196,2474.00,100,Yes,No,5865.00,7889.00,2355.00,36,39,90,61,28,28,98,95,66,74,7,68,68,23,93,Male,49,11317,Yes
Natassia,Drew-Clifton,979.00,2879.00,214,9224.00,5,No,Yes,968.00,1761.00,6775.00,28,31,39,56,27,86,61,28,18,73,87,73,83,93,75,Female,45,93655,No
Jeannine,Cruddace,9009.00,7307.00,920,9749.00,75,Yes,Yes,9250.00,1271.00,3410.00,31,21,12,87,78,4,13,10,49,6,73,14,7,88,69,Female,73,68219,No
Lindsy,Fluger,811.00,3921.00,83,9520.00,42,Yes,No,3093.00,3644.00,4701.00,58,35,7,37,2,66,94,89,51,85,7,3,94,96,93,Male,74,82088,No
Helen,Gavagan,4820.00,1031.00,758,7158.00,80,No,Yes,5991.00,1631.00,761.00,30,85,46,4,47,73,41,85,23,65,12,15,45,100,43,Male,24,21503,No
Herb,Wastell,1363.00,2281.00,879,1217.00,34,No,No,4206.00,4273.00,8347.00,78,18,95,93,22,73,23,88,37,9,83,21,72,98,56,Male,22,4158,No
Frants,Dochon,8095.00,2560.00,579,2734.00,32,Yes,No,1950.00,3874.00,1216.00,16,95,92,77,45,74,24,99,3,79,99,60,2,33,34,Female,77,95400,Yes
Smitty,Vasyunin,3437.00,8491.00,484,5489.00,52,No,Yes,6721.00,9590.00,1329.00,56,39,82,92,74,12,24,13,56,87,88,44,71,100,66,Male,46,64673,Yes
Minette,Binnie,2647.00,2712.00,369,9084.00,55,No,Yes,8160.00,177.00,5350.00,48,39,84,27,91,41,34,38,54,26,63,56,38,36,98,Male,25,38150,Yes
Chandler,Bools,2559.00,154.00,91,9532.00,61,No,No,1958.00,2987.00,2552.00,32,26,96,67,39,10,77,2,47,41,84,81,42,84,34,Female,3,16236,Yes
Valerie,Torrecilla,991.00,9597.00,439,8329.00,97,Yes,Yes,2242.00,3827.00,1885.00,51,39,79,79,48,71,89,39,74,94,82,16,25,3,32,Male,59,48763,Yes
Pier,Hanaford,3265.00,1234.00,471,325.00,85,No,Yes,8949.00,9452.00,1576.00,20,13,24,55,72,58,24,24,33,85,73,39,50,94,36,Male,47,60554,No
Udale,Phizakarley,167.00,1694.00,326,7523.00,74,No,No,2431.00,9166.00,5974.00,55,27,90,79,21,39,37,38,66,88,59,92,9,36,91,Male,64,75704,Yes
Mufinella,Felten,8801.00,4667.00,839,7668.00,84,No,Yes,3256.00,3077.00,7231.00,9,54,14,58,12,44,64,54,46,33,42,37,8,75,40,Male,35,54734,Yes
Hurlee,Woodrup,1789.00,6765.00,184,2225.00,67,No,Yes,4609.00,7787.00,704.00,47,97,46,40,43,81,87,47,53,8,83,99,79,36,34,Male,44,91321,No
Esteban,Shillan,5733.00,6495.00,604,4984.00,17,No,Yes,6672.00,5681.00,1130.00,91,91,64,67,26,4,27,74,1,90,21,25,13,23,68,Male,39,998,No
Aylmar,Dommersen,1831.00,565.00,812,5748.00,27,No,Yes,2816.00,3036.00,9520.00,32,89,74,86,14,17,37,55,65,18,56,52,70,11,77,Male,71,9654,Yes
Kahlil,McCandie,6821.00,5724.00,3,854.00,20,No,No,4842.00,451.00,6916.00,70,31,66,62,62,48,91,92,66,66,84,90,67,52,61,Male,67,85617,Yes
Blanca,Bilbrey,9052.00,9497.00,581,1314.00,47,Yes,No,9071.00,2023.00,6857.00,16,52,4,47,74,63,49,43,31,69,32,2,83,51,21,Male,48,71652,Yes
Tybi,Penquet,9837.00,7941.00,179,477.00,37,No,No,2261.00,2162.00,7076.00,11,74,40,72,2,60,78,91,17,6,76,31,46,91,22,Male,6,70438,Yes
Norene,Melpuss,3857.00,8321.00,846,2529.00,10,No,No,6297.00,3514.00,3466.00,54,13,4,61,74,49,45,44,77,12,64,36,5,57,36,Female,67,98880,No
Carrissa,Gouldstone,869.00,5671.00,90,7542.00,36,Yes,No,879.00,8055.00,4877.00,94,15,54,50,82,77,15,19,28,49,77,7,82,31,67,Male,67,65205,No
Max,Huonic,3760.00,347.00,848,6005.00,67,Yes,Yes,6120.00,1301.00,5760.00,30,66,76,75,5,18,59,35,41,60,32,66,24,91,91,Female,11,74245,Yes
Iolanthe,Ryle,2347.00,6351.00,284,1728.00,48,Yes,No,2124.00,8820.00,7647.00,98,62,92,20,82,45,70,61,40,54,72,58,78,62,6,Female,59,23219,Yes
Osgood,Frail,1168.00,5248.00,301,3880.00,75,No,No,6337.00,6466.00,3136.00,70,16,45,58,69,87,60,19,39,27,30,22,58,83,68,Female,9,21445,No
Weston,Cheyne,2481.00,9281.00,34,6527.00,41,No,Yes,6692.00,4044.00,4670.00,65,32,13,62,18,16,2,85,56,11,83,39,9,84,11,Female,37,51596,Yes
Ricki,Fielder,2606.00,5370.00,649,2830.00,17,No,Yes,3471.00,4355.00,5563.00,65,12,48,10,7,45,11,67,14,83,42,32,89,79,73,Male,12,36835,Yes
Viki,Horsburgh,8654.00,1057.00,259,4956.00,29,Yes,No,280.00,2270.00,6700.00,11,82,14,20,74,6,1,6,12,84,10,81,8,25,31,Male,10,92453,Yes
Skipp,Gwilt,1489.00,4788.00,266,7475.00,15,Yes,No,9835.00,8454.00,9176.00,72,70,85,74,21,34,32,19,74,76,37,27,69,39,43,Female,66,13991,Yes
Malia,McCole,2328.00,2447.00,461,1551.00,57,Yes,No,3840.00,7807.00,6550.00,86,61,19,20,70,61,42,88,79,100,43,39,30,75,63,Male,2,14795,Yes
Laughton,O'Fairy,6335.00,3082.00,644,7729.00,90,No,Yes,8481.00,7730.00,1080.00,9,34,92,37,43,1,87,12,89,32,7,1,81,77,13,Male,45,60464,Yes
Maison,Beresfore,2239.00,817.00,191,777.00,7,Yes,No,7015.00,4312.00,9351.00,64,74,23,71,23,23,78,24,69,13,76,58,19,4,74,Female,69,52323,Yes
Merilyn,Rooke,7814.00,2152.00,793,7788.00,57,Yes,Yes,9457.00,9761.00,6787.00,1,38,78,79,12,100,37,19,3,58,30,40,84,100,58,Female,51,93446,No
Tess,Janos,2138.00,8202.00,582,9561.00,62,No,Yes,2693.00,351.00,2268.00,47,70,73,39,99,96,99,89,31,61,49,60,90,85,6,Male,76,9362,Yes
Izzy,Leyland,6305.00,8845.00,861,5759.00,73,Yes,Yes,1960.00,2070.00,1634.00,5,88,19,4,25,86,41,20,99,72,8,78,98,49,39,Male,7,85110,No
Ilyse,Pounder,746.00,9037.00,785,6710.00,49,No,No,7849.00,3481.00,5332.00,63,81,32,23,97,82,35,91,92,66,36,15,40,69,73,Male,16,92252,Yes
Cherey,Fernie,6940.00,8574.00,593,6935.00,38,Yes,No,8789.00,8609.00,8747.00,18,21,8,29,23,70,23,18,36,87,46,79,42,39,12,Male,17,86090,Yes
Anneliese,Dahmel,1421.00,6892.00,648,8179.00,41,No,No,1476.00,8033.00,9503.00,51,9,13,81,42,1,84,100,33,23,34,91,15,33,100,Female,63,34553,Yes
Kirby,Blakely,3612.00,9993.00,103,2477.00,72,Yes,Yes,5289.00,7257.00,7869.00,64,78,3,29,83,2,45,83,39,59,78,7,24,52,100,Male,80,36304,Yes
Nydia,Opfer,8558.00,884.00,310,3823.00,20,Yes,Yes,6506.00,1156.00,2087.00,14,29,89,84,55,58,37,12,71,24,57,25,71,67,45,Male,34,12934,No
Ronni,Dunlop,7291.00,5818.00,734,336.00,2,Yes,No,7056.00,7552.00,6626.00,74,29,89,72,40,2,16,51,67,37,76,72,13,94,35,Male,9,69718,No
Evanne,Siney,513.00,1683.00,867,7788.00,96,No,No,6191.00,1862.00,610.00,15,82,100,92,28,66,5,80,98,74,85,55,96,28,29,Male,27,3680,Yes
Dunn,MacParlan,6948.00,6840.00,802,811.00,86,No,No,4229.00,738.00,9488.00,43,31,66,61,49,87,96,64,75,15,46,18,61,74,33,Female,40,39881,No
Robinetta,Wadwell,2859.00,1731.00,673,330.00,27,No,No,1270.00,4668.00,521.00,41,29,65,37,64,62,47,79,26,47,51,97,78,31,48,Female,33,15919,No
Nora,Hamblen,8634.00,6680.00,759,9852.00,66,Yes,No,3496.00,4867.00,9424.00,25,83,72,57,26,55,89,62,28,39,94,79,88,32,97,Male,45,21487,Yes
Adriaens,Pellant,2751.00,3763.00,79,7145.00,13,No,No,3552.00,2750.00,3167.00,93,43,45,12,53,56,13,72,24,81,54,66,33,93,94,Female,8,65586,Yes
Gus,Pesik,8925.00,5677.00,562,729.00,87,Yes,No,7870.00,9883.00,5746.00,90,19,36,39,77,92,79,69,17,92,94,28,68,97,61,Male,30,38262,Yes
Felic,Daftor,990.00,9259.00,153,1837.00,20,Yes,Yes,6815.00,5541.00,3470.00,39,91,66,50,49,20,25,49,73,50,8,32,3,73,30,Male,64,87903,Yes
Tremain,Kerrod,6514.00,5316.00,681,7499.00,54,Yes,No,9361.00,4557.00,4276.00,91,73,31,15,3,37,71,34,73,55,73,12,70,32,33,Male,64,15552,No
Neill,Roblin,7173.00,4013.00,2,125.00,47,No,No,5382.00,1466.00,5144.00,2,69,68,83,45,36,94,46,66,64,60,44,86,40,43,Female,2,66903,No
Dotti,Lohmeyer,3682.00,7924.00,994,5869.00,75,No,Yes,2566.00,2805.00,3470.00,31,55,16,58,90,89,82,56,31,68,15,100,78,9,2,Male,11,69463,Yes
Ignaz,Btham,5285.00,2910.00,800,3148.00,33,No,Yes,2638.00,6837.00,1722.00,37,87,19,27,89,30,89,36,40,41,96,8,56,99,98,Female,13,45274,No
Eyde,Morfett,8578.00,3462.00,899,2664.00,13,Yes,No,5148.00,5165.00,5950.00,20,22,42,10,75,33,80,84,99,32,53,58,49,23,1,Female,73,31741,Yes
Hussein,Yokley,6663.00,5068.00,729,4361.00,70,No,No,4683.00,1292.00,2242.00,61,18,72,23,79,83,44,46,40,19,49,30,58,4,25,Male,63,19608,No
Alexina,Gabites,5706.00,2952.00,874,8318.00,9,Yes,Yes,6389.00,7817.00,4475.00,63,12,84,67,96,25,31,39,12,77,47,53,62,80,93,Male,48,30925,No
Kassia,Ryding,8045.00,4048.00,564,5694.00,66,Yes,No,1499.00,477.00,1577.00,21,75,11,58,39,59,47,88,45,48,38,88,23,86,48,Female,15,443,No
